"Age" "Educ" "Hours" "Sex" "TVHours" "Happy" "MEduc" "FEduc" "Marital" "Sibs" "Work" "Zodiac" "Income"
48 15 38 "Female" 3 "Pretty Happy" 16 9 "Divorced" 4 "Fulltime" "Virgo" 9000
67 13 23 "Female" 2 "Pretty Happy" 12 12 "Widowed" 4 "Housekeeping" "Libra" 18750
44 18 50 "Male" 0 "Pretty Happy" 11 11 "Married" 0 "Fulltime" "Taurus" 110000
52 20 40 "Male" 2 "Pretty Happy" 12 12 "Married" 0 "Fulltime" "Virgo" 110000
52 12 45 "Male" 1 "Pretty Happy" 10 9 "Married" 2 "Fulltime" "Taurus" 55000
51 17 50 "Male" 2 "Very Happy" 17 6 "Married" 2 "Fulltime" "Pisces" 1e+05
52 16 26 "Female" 1 "Pretty Happy" 12 13 "Divorced" 4 "Laid Off" "Virgo" 67500
40 8 50 "Male" 3 "Pretty Happy" 0 3 "Married" 5 "Fulltime" "Cancer" 13750
19 11 61 "Male" 2 "Pretty Happy" 12 14 "Never Married" 2 "School" "Virgo" 1e+05
72 12 54 "Female" 7 "Pretty Happy" 4 6 "Divorced" 2 "Retired" "Aquarius" 13750
55 12 47 "Female" 1 "Pretty Happy" 3 8 "Married" 9 "Housekeeping" "Virgo" 45000
29 16 50 "Male" 2 "Pretty Happy" 13 16 "Never Married" 3 "Fulltime" "Taurus" 67500
56 16 40 "Female" 5 "Very Happy" 10 16 "Married" 1 "Fulltime" "Libra" 110000
26 15 35 "Male" 2 "Pretty Happy" 20 17 "Married" 2 "Parttime" "Leo" 27500
51 12 40 "Female" 2 "Very Happy" 9 10 "Divorced" 4 "Fulltime" "Capricorn" 23750
23 16 36 "Female" 0 "Pretty Happy" 16 20 "Never Married" 0 "Housekeeping" "Libra" 2000
43 12 46 "Male" 3 "Pretty Happy" 12 12 "Widowed" 3 "Housekeeping" "Capricorn" 37500
33 7 39 "Female" 2 "Very Happy" 12 14 "Married" 2 "Housekeeping" "Aquarius" 45000
32 11 40 "Female" 5 "Pretty Happy" 10 12 "Never Married" 5 "Fulltime" "Aquarius" 11250
32 19 40 "Male" 2 "Pretty Happy" 12 12 "Married" 6 "Fulltime" "Aries" 110000
29 18 40 "Female" 4 "Pretty Happy" 12 12 "Never Married" 1 "Fulltime" "Aquarius" 67500
51 13 27 "Female" 3 "Pretty Happy" 13 8 "Married" 7 "Parttime" "Aquarius" 55000
53 16 40 "Female" 1 "Not Too Happy" 7 2 "Separated" 8 "Fulltime" "Gemini" 45000
45 14 70 "Male" 1 "Very Happy" 12 12 "Married" 1 "Fulltime" "Libra" 82500
39 19 55 "Male" 0 "Pretty Happy" 12 12 "Divorced" 6 "Fulltime" "Sagittarius" 12584296
47 16 50 "Female" 1 "Very Happy" 14 14 "Divorced" 2 "Fulltime" "Leo" 67500
29 15 40 "Female" 3 "Pretty Happy" 12 16 "Never Married" 1 "Fulltime" "Cancer" 3582821
